CanonicalFunction,MergedFunctions,Mechanism,Structure,paragraph_ids,num_paragraphs,num_phrases,Subsystems
imitate haustilago attack control,imitate haustilago attack control,gradient descent path optimization,,5106,1,1,autonomous flight control | blades
imitate pigeon homing behavior,imitate pigeon homing behavior,gradient descent path optimization,,5105 | 5106,2,1,autonomous flight control | sensors
imitating Harris eagle hunting,imitating Harris eagle hunting,attack control law design | control instruction converter | distributed attack target decision,unmanned plane cluster attack track,4386 | 4387,2,1,autonomous flight control | avionics processing
immediate decision-making,immediate decision-making,,Figure 1 associated with Abstract | autonomous navigation system | collision avoidance subsystem | customization for monitoring tasks | energy-efficient propulsion system | infrared and optical cameras | integrated structural monitoring drone system | modular payload system | onboard processing unit | thermal imaging | title placeholder,3306,1,1,autonomous flight control | avionics processing
immediate emergency response,immediate emergency response | rapid and effective emergency response,GPS activation via remote control | control command generation | drone flies over difficult areas,aircraft and image sensor control | autonomous mission execution device | external information linkage unit | flight control unit | image processing unit | image sensor | internal configuration modules | response decision unit | situation information generation unit,1502 | 3307,2,2,autonomous flight control | avionics processing
immediate flight attitude change,immediate flight attitude change,,drone platform | platform and mission equipment | stable flight capabilities,6122,1,1,autonomous flight control | sensors
impact covering on crash,impact covering on crash,buoyancy of gas bag,battery unit | gas discharge hose | gas injection port | gas tank | gas tank inside drone | motor and propeller on drone frame | photographing camera,3434,1,1,CO2 gas-gap insulation | fuselage
impact resistance,impact resistance,impregnation with thermosetting resin | lamination with thermosetting resin film,converter commutation cell | electrically conductive layer | epoxy-based adhesive composition | gate driver circuit | multi-layer planar carrier substrate | none | power circuit | power conducting switching element | power semiconductor prepackage | power semiconductor switching element | selected figure,96 | 97 | 113 | 114 | 271,5,1,CO2 gas-gap insulation | fuselage
imparting intelligence index to robot,imparting intelligence index to robot,constant current charge at 0.1C | constant current discharge at 0.1C | constant voltage charge at 4.5V,fluorinated cyclic and chain carbonate electrolyte | positive electrode with nickel cobalt manganese,202 | 203,2,1,batteries | survival heaters
impedance control method,designing impedance control method | impedance control method,adaptive sliding mode safety controller | center of mass kinematics model | deflection force and moment estimation | multi-arm operating mechanism,,4688 | 4689,2,2,autonomous flight control | blades
impeller stirs liquid medicine,impeller stirs liquid medicine,,flight controller controls UAV attitude | unmanned aerial vehicle,3995,1,1,autonomous flight control | blades
impeller-driven gas intake,impeller-driven gas intake,Magnus effect from forced ram air | centrifugal impeller ram air | flows directed to rotating cylinders | reduced impact on cylinder area | velocity increase by flow narrowing,body with air inlets | cells extend into tunnel | centrifugal impellers at top | flow channels with cell form | impellers and cylinders driven | independent top and bottom flow channels | multiple impellers on top and bottom | polyhedral body | rotating parts driven by engines | rotating perimeter cylinders | tunnel narrows at outlet before cylinder,944,1,1,blades | CO2 gas-gap insulation
implement air show with drones,implement air show with drones,,hydrogen fuel cells | mission execution system | multi-point spraying drone | speaker for air show,1453 | 1454 | 1455,3,1,solar panel | batteries
implement compatibility rule,implement compatibility rule,,charging station arrangement unit | charging station locations | object dimensions measurer (ODM) | object weight measurer (OWM) | path calculating unit | payload coupling apparatus | retractable tether,2542 | 2543,2,1,landing system | telecommunication
implement intervention on movable end,implement intervention on movable end,control assembly communication | control assembly state transmission | third communication component receives state | transmit setting command,control system | movable end,6431,1,1,telecommunication | autonomous flight control
implement modular commands,implement modular commands,reciprocate or vibrate container | rotate aerosol container,UAV modular command priority system | aerosol container | computer programs on storage media | stirring means,4295,1,1,blades | avionics processing
implement safe altitude requirements,implement safe altitude requirements,acquire flight trajectory data | determine flight-limiting altitude | execute flight trajectory task | flight-limiting altitude relative to reference point,,2559,1,1,autonomous flight control | sensors
implement the system,implement the system,,,2327,1,1,avionics processing | landing system
implement wireless compliance,implement wireless compliance,,fixed plate and four support legs | rotary driving motor | vertical rotating shaft,1896 | 1897,2,1,telecommunication | blades
implementation on unmanned carrier,implementation on unmanned carrier,FSS layer fixedly spaced from base | memory metal wires rigid in memory state,conductive base surface | data element | features and parameters | flexible antenna element layer | frequency selective surface layer | ground plane | memory metal wires | memory metal wires connect conductive patches to base,150,1,1,fuselage | avionics processing
implementation reduce occurrence probability,implementation reduce occurrence probability,,flight status | ultrasonic information,5175,1,1,avionics processing | CO2 gas-gap insulation
implemented by location assistance system,implemented by location assistance system,blower controller supplies commands | compensate thrust by flight control,binding mechanism | blower controller | connecting framework I | connection to remote control sockets via transformer | elastically connected rods | electrode I | flight controller | locking mechanism I | long pantograph fixed to plate | meshed polyhedron | power supply | power taking wire I and II | protective cage | supporting plate | two path division,3596 | 3597,2,1,blades | autonomous flight control
implementing learning memory system,implementing learning memory system,,cue bank per hive | data element | features and parameters | hives within memory system | interconnected data units | localities constructed per hive | semantically related data units,151,1,1,avionics processing | autonomous flight control
implementing video on air display using drone,implementing video on air display using drone,,2D plane or 3D stereoscopic image | RGBW LED formation | drone air display fixed in air | rod-shaped body extends above propeller guard,4149 | 4150,2,1,blades | telecommunication
import route into unmanned aerial,import route into unmanned aerial,breast height diameter generated from breast height part information | processing in calculation section,arm inner end attachment | body base part | breast height part information | connection part | end circumferential direction body | insertion portion | lightweight and high rigidity | mechanism screwed formed other | screw inlet | terrain height from point cloud | tree trunk detection processing section,3368 | 3369,2,1,camera | sensors
impose physical actions based on user activities,impose physical actions based on user activities,receiving activity message | storing multiple rules,bin supporting carbon rod | data indicative of user activity | foot rest carbon rods | foot rest tee pipe fittings | other guide rail rotatable about second shaft | shaft perpendicular to guide rail plane | support frame carbon rods | support frame tee pipe fittings,1678 | 1679,2,1,fuselage | landing system
improve AED rescue effect,improve AED rescue effect,cell address identification | generating AED distribution instruction | generating flight task instruction,,5362,1,1,avionics processing | autonomous flight control
improve SUAV cruising ability,improve SUAV cruising ability,minimum power flight speed | movement characteristics stress conditions | preset flight strategy | solidified yaw rate | unmanned aerial vehicle analyzed,integrated management server control | remote controller,3811,1,1,autonomous flight control | blades
improve UAV base station deployment evaluation,improve UAV base station deployment evaluation,based on sensor value and validity | calculate pressure sensor signal validity,,5046,1,1,sensors | telecommunication
improve UAV data link safety,improve UAV data link safety,determine air defense weapon interception parameters | distribute fire by preset principle | map fire attack relations,,4106,1,1,autonomous flight control | telecommunication
improve UAV flight flexibility under bridge,improve UAV flight flexibility under bridge,,carrier with cavity | double unmanned aerial vehicle | left unmanned aerial vehicle | mobile camera | payload within cavity | right and left UAVs | right unmanned aerial vehicle,4921,1,1,autonomous flight control | blades
improve UAV landing accuracy,accurate UAV landing control | enable UAV landing | improve UAV landing accuracy | improve UAV landing precision | improve UAV return accuracy | improving UAV landing precision | increase UAV landing accuracy,acquiring relative rotation matrix | apron coordinates | calculating Euler angles | calculating central point coordinates | calculating horizontal moving distance | combine status and formation information | conversion rotation matrix | determining horizontal offset | determining lighting scenario | establishing relation model between UAV and target | finding target difference images | form group state representation | horizontal oscillation frequency and amplitude | obtain current formation information | obtaining sensor data | performing subtraction on binarized images | project titled “research generate | receive UAV status information | receiving map data | study conceived result research,"first lead screw connected to servo motor | parameters: offload ratio, split ratio, transmission power, decoding order | pivoting motor mounts | power supply fixed in mounting plate | power supply module | propellers rotate horizontal and vertical planes | rotating plate | rubber pad fixed to clamping plate | sliding plate on lead screw",373 | 2288 | 2902 | 2978 | 2979 | 3188 | 3291 | 4478,8,7,sensors | autonomous flight control
improve UAV reliability,improve UAV inspection quality | improve UAV reconnaissance accuracy | improve UAV reliability | improve UAV retrieval reliability | improving UAV area coverage accuracy,3D transformer substation modeling | autonomous inspection technology | based on voltage and current | calculate gap based on slot IDs | control piloting UAV | control via rocker | controller controls flight position | execute coverage task | image transmitted to controller | internal reference circuit | leveling module controls PWM signal | optimal shooting distance adjustment | route adjustment by electromagnetic field intensity | route modeling and re-measurement | second acquisition module | send phase angle | sending PWM signal | visual sensor,UAV area coverage control system | aerial host machine | annular sliding rheostat | central control unit | current angle value acquisition | decoupled fuselage and propeller gesture | detection camera | first acquisition module | gun turret part | photography controller | photography system | recovery net collecting and releasing subsystem | recovery net opened by air flow | recovery net subsystem structure | recovery net subsystems | remote rod | rotatable base part | spraying angle adjustment | task platform | unmanned aerial vehicle photography method | water tank,2253 | 4131 | 4806 | 4938 | 4944,5,5,autonomous flight control | sensors
improve UAV routing inspection reliability,improve UAV routing inspection reliability,send secondary request,,5925,1,1,autonomous flight control | telecommunication
improve UAV safety,improve UAV decision making | improve UAV flight safety | improve UAV inspection efficiency | improve UAV operation efficiency | improve UAV reconnaissance efficiency | improve UAV retrieval efficiency | improve UAV safety | improve UAV system control optimization | improve efficiency of UAV operations | improve multi-UAV planning efficiency | improves UAV inspection efficiency | improving UAV operation efficiency | improving UAV recovery efficiency | improving UAV shooting efficiency | increase UAV operation efficiency,acquire UAV noise information | acquire UAV positions and recording directions | acquire flight trajectory data | attitude controller control | based on voltage and current | calculate attitude dip angle | calculate expected speed | calculate gap based on slot IDs | carrying out global path | compare to unit boundary energy | consider current flight environment | construct threat zone outline | continuous action control | control UAV to forced landing point | control via rocker | controller controls flight position | convert planar data to panoramic coordinates | depth deterministic strategy gradient | derive expected acceleration | detect precursor airplane state | determine flight-limiting altitude | determine target positions and recording directions | determining task parameter | display planar data via panorama service | dividing perspective cone windows | driving wheels at arm support ends | estimate sound target position | execute flight trajectory task | flight-limiting altitude relative to reference point | image transmitted to controller | internal reference circuit | judge airspeed for parachute opening | judge compensation airplane priority | judge execution based on air route | judge residual energy | leveling module controls PWM signal | no alarm otherwise | obstacle avoidance training | optimize path using inspection image | perspective cone decision judgment | planning acquiring obstacle motion | search closest threat zone | second acquisition module | sending PWM signal | set obstacle avoidance distance | steering engine drives arm support rotation | visual sensor | window position determination,Electro-Mechanical drone transportation system | RTK reference station bidirectional with satellite | UAV connected to RTK reference station | UAV obstacle avoidance system | aerial host machine | annular sliding rheostat | arm joint drive steering wheel | arm support | balancing device | blade on swinging rod | bracket fixed on base | bracket with vertical guide rail | buoyancy pressing block | camera on first frame | canopy assembly | cloud platform server | communication radio station connected to UAV | computer-readable storage medium | connecting pipe fixed to UAV shell | connection below rack | control module | control processor as onboard processor | controller connected to communication radio station | cover plate on UAV shell | current angle value acquisition | damping mechanism connected to frames | device and system | device control method and apparatus | differential disaster investigation platform | double-shaft digital steering engine | dry powder extinguishing device | elastic air bag fixed inside | first acquisition module | first and second air storage bottles on lower cross beam | flight battery storehouse | forced landing control device | forced landing control method | front and rear driving wheels | glass breaker below frame upper cross beam | ground control base station | improved bidirectional A* algorithm | information detection part | medicine box in placing cavity | millimeter wave radar | multi-UAV path planning system | multiple routes network | obstacle avoidance sensors | onboard 5G/4G communication terminal | photography controller | photography system | placing cavity | positioning and attitude detection module | protection from rotor strike | rack with screw propeller | recovery net collecting and releasing subsystem | recovery net opened by air flow | recovery net subsystem structure | recovery net subsystems | remote rod | rotor guard | rotorcraft UAV main body | route planning method | satellite output connection | size small dosage large | storage medium | supporting parts contact ground | supporting parts on frames | task controller | third air storage bottle in middle upper | track planning route data output | two compressors connected in series | two-stage air compression | unmanned aerial vehicle | unmanned aerial vehicle equipment | unmanned aerial vehicle photography method | unmanned aerial vehicle shell | weight light efficiency high,433 | 434 | 1753 | 1876 | 1877 | 1878 | 2253 | 2378 | 2558 | 2559 | 2586 | 2587 | 2710 | 2711 | 3041 | 3042 | 3071 | 3072 | 3320 | 4112 | 4114 | 4938 | 4944 | 5258 | 5464 | 5465 | 6149 | 6150 | 6689 | 6691,30,15,autonomous flight control | sensors
improve UAV survival probability,improve UAV survival probability,,fuselage and wings aerofoil | side-by-side solid rocket engines | smaller diameter than turbofan | solid rocket engine slenderness | thrust line and gravity center alignment,4838,1,1,blades | fuselage
improve accident disposal efficiency,improve accident disposal efficiency,inspection key points positioning,communication module | control module | data comprehensive application platform | data storage module | unmanned aerial vehicle | well control risk emergency management system,2369,1,1,autonomous flight control | telecommunication
improve accuracy,improve accuracy | improved accuracy,avoiding first type obstacle | modifying navigation route using BIM model | obtain third navigation executing | routing inspection route section | share estimated position | share range via datalink,bin supporting carbon rod | brushless motor carbon rods | foot rest carbon rods | foot rest tee pipe fittings | four brushless motors at rod ends | machine body with roller foot rest | main control bin on machine body | motors connected with paddles | multi-rotor unmanned aerial vehicle | photovoltaic solar panel cleaning system | pipe clamping frame | roller main body | support frame carbon rods | support frame tee pipe fittings,1680 | 5853,2,2,autonomous flight control | sensors
improve accuracy and efficiency,improve accuracy and efficiency,linear moving mechanism | rigid display component movement | series extension | telescopic rod extension,forest fire prevention early | warning method comprises steps,2310 | 2311,2,1,sensors | autonomous flight control
improve aerial survey efficiency,improve aerial survey efficiency,adjust conversion rate | based on ground speed and distance | transition adjustment determination,UAV-based image control point layout device | connecting main body | detachable image control identification body | image control identification device at UAV bottom | receiver mounting seat on UAV top | touch emission connection | unmanned aerial survey equipment,5596,1,1,autonomous flight control | telecommunication
improve aerodynamic properties,improve aerodynamic properties | improved aerodynamic efficiency,adjust flow passage size | relative movement of bionic airfoils,adaptable wing | bionic surface portion | bionic surface undulations | blade core | ceramic core | ceramic first material | conventional airfoil surface | conventional and bionic surfaces | conventional surface portion | different skin material | flow passage between bionic surfaces | hub | opposite sides airfoil | polymer skin | series of blades | silicon nitride ceramic | skin covering core | thickness direction undulations | two bionic airfoils,4 | 5560,2,2,blades | CO2 gas-gap insulation
improve agility and profitability,improve agility and profitability,,edges interconnecting nodes | energy-related feature between nodes | graph neural network | nodes representing distributed energy resources,196,1,1,avionics processing | batteries
improve aiming precision,improve aiming precision,automatic firing signals | fire extinguishing bomb launching | launching controller generates ignition and launch | search around investigation target UAV | search unit finds UAVs with photographing function,flight position determination unit | information acquisition unit | management device,6311,1,1,autonomous flight control | sensors
improve air route declaration efficiency,improve air route declaration efficiency,,computer equipment | electric linear sliding | electric linear sliding table | motor speed reducing mechanism | photoelectric switch | power line inspection UAV | power switch | receiving end mechanism | rotary power supply device | route application method | time control circuit | transmitting end mechanism | unmanned aerial vehicle body | wireless receiving circuit A | wireless receiving circuit B | wireless transmitting circuit | wireless transmitting circuit module,2652 | 2653,2,1,solar panel | avionics processing
improve air route smoothness,improve air route flexibility | improve air route smoothness,compartment with sensors | identify item | retrieve supplemental information,,2827 | 5257,2,2,avionics processing | sensors
improve air shooting training effect,improve air shooting training effect,,UAV charging station | base stations (eNB/gNB) | ground receiving device | laser receiving device | laser transmitter | leased towers,6437,1,1,batteries | telecommunication
improve air-robot stability,improve air-robot stability,,multiple rotor assemblies,5287,1,1,blades | autonomous flight control
improve aircraft operational effectiveness,improve aircraft operational effectiveness,independent propulsion unit,aircraft payload | executing mechanism | self-propelled payload | unmanned aerial vehicle ground control platform,6481 | 6482,2,1,blades | autonomous flight control
improve aircraft traffic control,improve aircraft traffic control,analyze text format | automatic route file generation | compare to knowledge graph | input imaging spectrometer field angle | no other software needed | receive VHF radio signal | speech recognition | update knowledge graph,first database entry generation | network interface for ART data,608 | 609,2,1,avionics processing | telecommunication
improve aircraft visibility,improve aircraft visibility,face first face to point | key extraction from GPS signal | orientation change control | periodic key updating,at least one memory | at least one processor,5938 | 5939,2,1,avionics processing | sensors
improve algorithm training efficiency,improve algorithm training efficiency,simulated charges with same polarity,charge attraction between UAV and target | included angle theta | reference unit vector | resultant force direction | simulated charges on obstacle,5152,1,1,blades | autonomous flight control
improve analysis efficiency,improve analysis efficiency,"acquiring fusion speed | calculating reference speed from positions and time | comparing GPS and fusion speed differences | fusion speed based on GPS, course, IMU | judging based on preset thresholds",,6619,1,1,sensors | avionics processing
improve anti-interference,good anti-interference | improve anti-interference | improve anti-interference and control force | improve anti-interference capacity | improved anti-interference performance,asymmetric transfer functions | candidate position supplementing determination | deep neural network identification module | error compensation system | gap filling broadcast | high-incidence flight mode | identify construction site personnel | images from cradle head camera | inform other UAVs | limit angle of attack controller | limit tracking errors | neighbor judgment of damaged UAV nodes | position difference adjustment speed | process repeated each time slot | tracking target replacement determination | until no more drone nodes | upper dihedral angle formation,control unit | controls movement about axes | dispatch module | distributed robotic delivery system | first control element | first control element moves airborne object | ground remote control end | helmet wearing intelligent inspection system | integrated design | laser emission positioning device | laser receiving arrangement | robotic vehicles | rotary and pivoting movement | second control element changes altitude | simple and reliable structure | small size bionic winglet | unmanned aerial vehicle body | unmanned aerial vehicle landing device,1152 | 1153 | 5498 | 5621 | 6133 | 6576,6,5,autonomous flight control | blades
improve arrival probability,improve arrival probability,,flight control unit | flight plan management unit | learning unit for machine learning | motors with four propellers | route and flight conditions generator | small drone body,3976 | 3977 | 3978,3,1,autonomous flight control | blades
improve artistic effect of performance scene,improve artistic effect of performance scene,algorithm adapts normalized position | analyze color change of adjacent positions | analyze color transition range | calculate light effect color per UAV | minimize flight energy consumption | use position information of source and destination,,2594,1,1,sensors | autonomous flight control
improve assembly accuracy,improve assembly accuracy | improve test assembly accuracy,bolt pretightening force monitoring | cloud computing guidance,installed on fixing plate side | installed on opposite fixing plate side | link bar | screw jack | screw jack between top and base plates | upper unit | upper unit fixed to top plate center | vertical fixing fastening members | x-coordinate and y-coordinate moving bolts | x-coordinate moving bolts | y-coordinate moving bolts,3871 | 5396,2,2,fuselage | landing system
improve attitude angle measurement accuracy,improve attitude angle measurement accuracy,acceleration correction model | combine corrected acceleration with attitude angle | obtain attitude angle from XYZ rotation data | replace initial attitude angle,,4798 | 4799,2,1,sensors | autonomous flight control
improve automation in power grid inspection,improve automation in power grid inspection,,bionic chord corrugated wings | corrugated part distance 10%c | corrugated part height 6%c | corrugated part length 10%c | miniature unmanned aerial vehicle | pneumatic control surface,4072 | 4073,2,1,solar panel | blades
improve autonomous landing accuracy,improve autonomous landing accuracy,inter-machine information interaction | wireless ultraviolet light secret communication,,5750 | 5751,2,1,telecommunication | sensors
improve battery charging efficiency,improve battery charging efficiency,,battery cells | charging device | discharging device | first drone | first operation tower | first transfer tower | passive cell balancer | pulse charging unit | second drone | second operation tower | third operation tower,6317,1,1,batteries | solar panel
improve battery high-temperature cycle,improve battery high-temperature cycle,,LiNi n Co m Mn (1-n-m) | conductive agent | lithium iron phosphate formula | nickel cobalt lithium manganate formula | positive active layer | positive current collector | positive electrode active material | positive plate,191,1,1,batteries | survival heaters
improve bridge detection precision,improve bridge detection precision,,calibration device | camera device | unmanned aerial vehicle,3371,1,1,camera | sensors
improve butt joint precision,improve butt joint precision | reduce butt joint difficulty,,control software | deflection assembly | main butt joint part | main docking portion mounted | mobile platform | near-infrared beacon based system | secondary butt joint part | secondary docking portion mounted | terminal device | unmanned aerial vehicle composite docking system,2966 | 4485,2,2,landing system | fuselage
improve calibration convenience,improve calibration convenience,,,3476 | 3477,2,1,camera | sensors
improve camellia yield,improve camellia yield,,,2753,1,1,camera | CO2 gas-gap insulation
improve cleaning efficiency,better cleaning effect | improve cleaning efficiency | improve cleaning quality | improved cleaning effects | improved cleaning efficiency | improves cleaning efficiency,adjust spray head angle | break up harmonic reinforcement | counteracting blade vortices | improve YOLO algorithm | lifting adjusting rod driven by screw rotation | lifting hanging mechanism and cutter system | multiscale attention mechanism | non co-planar rotor blades | non-planar rotor blade motion | targeted cleaning strategy,air spraying assembly | clean module with translation fixed plates | clean motor and action wheel | cleaning system integrated in box body | cleaning unit movement on panel | cleaning wheels mesh mutually | connection arm with driving joint | control software | control unit | control unit controlling joint | dedicated landing strip for landing | dedicated standby landing strip | detection unit | driving wheel fixed to roller tip | electroscope hung on insulating ropes | flange seat on guide rods | flight drive unit | frame with propulsion module | insulating ropes connected to horizontal rod | jet subassembly | lifting screw rod | lifting screw rod engagement | lower base connected to telescopic device | mobile platform | motor output shaft connection | motor with vertical output shaft | near-infrared beacon based system | pair of landing strips | photovoltaic panel cleaning method | plurality of propellers | roller wound by axle rotation | rotation support part | scissor fork assemblies | sensing unit measuring distance | sensor system | standby or landing area | state unit | telescopic device below frame | terminal device | threads on lifting adjusting rod | translation fixed plates connected | unmanned aerial vehicle composite docking system | unmanned plane | various sensors | vision subassembly | water spray subassembly | water spraying assembly,751 | 1305 | 1535 | 1972 | 2704 | 2845 | 2966,7,6,blades | landing system
improve cluster expansibility,improve cluster expansibility,,computing system | field image data | first vehicle | imaging sensor,5108,1,1,camera | sensors
improve cluster search control capability,improve cluster search control capability,iterate until requirement met | judge fitness value | receive sensor data from ground platform and radar | update alerter positions | update discoverer positions | update follower positions,,4809,1,1,sensors | autonomous flight control
improve collaborative task execution,improve collaborative task execution,,anteroposterior communication device | communication satellite system | picture transmission system | satellites flying in front and behind | unmanned plane platform | visible light camera,3688 | 3689,2,1,telecommunication | autonomous flight control
improve command efficiency,improve command efficiency,special data channels | unified standard interface,comprehensive information processing subsystem | cooperative control scheduling subsystem | distributed computing model | intelligent auxiliary decision subsystem | task planning subsystem,6475,1,1,avionics processing | autonomous flight control
improve conductivity,improve conductivity,,carbon nanotube (1) diameter 80-400 nm | carbon nanotube (2) diameter 0.4-3.0 nm | conductive additive with carbon black and carbon nanotubes | content rates of additives | positive electrode active material,211,1,1,CO2 gas-gap insulation | batteries
improve construction speed and quality,improve construction speed and quality,,angle adjusting device | five cameras in protection cover,5096,1,1,camera | sensors
improve control device usability,improve control device usability,,controls movement about axes | first control element | first control element moves airborne object | rotary and pivoting movement | second control element changes altitude,1153 | 1154,2,1,blades | autonomous flight control
improve control efficiency,improve control capability | improve control efficiency,automatic spraying operation control | control main propeller rotation | dynamic adjustment of early-warning range | fiber optic sensors | monitor vibrations in pipeline,18 control instructions | UAV LED scintillation module | UAV formation multi-mode control system | based on electroencephalogram signals | brain electrical signal analysis module 4 | brain electrical signal collection and analysis modules | cluster and single-machine control mode | flight control method | next computer | orientation module | storage medium | unmanned aerial vehicle | visual stimulation display modules,781 | 3169 | 4964,3,2,autonomous flight control | avionics processing
improve control stability and reliability,improve control stability and reliability | improving control reliability,detect target state information | inter-machine information interaction | wireless ultraviolet light secret communication,adaptability function | pheromone and updating mechanism | target existence probability,1860 | 5751 | 5752,3,2,autonomous flight control | telecommunication
improve cooperative command efficiency,improve cooperative command efficiency,acquire multi-frame environment information | obtain first pose information,UAV control method and apparatus | readable storage medium | unmanned aerial vehicle,5477,1,1,autonomous flight control | sensors
improve cooperative gain,improve cooperative gain,cantilever claw pull open | eliminate claw effort on wall | pull wire control | resilience force of extension spring | steering wheel subassembly control,first communication module | first environment analysis module | first sensor module | invention relates vertical perching | steering engine component | stopping quad-rotor unmanned aerial,5305,1,1,blades | autonomous flight control
improve cooperative sensing reliability,improve cooperative sensing reliability,,second calculation module | sensing module | smart car modules | unmanned aerial vehicle components,3325,1,1,sensors | camera
improve coordination and real-time performance,improve coordination and real-time performance,cluster heads broadcast | inter-cluster cooperative control | obtain cluster first-choice value | set highest choice UAV as cluster head | set member nodes,,6425,1,1,autonomous flight control | blades
improve cost performance,improve cost performance,,air bag cabin and air bag | air bag cabins with doors | air bag connected to gas container | air bag restrained by cable | attitude control engines | electric motor | hard folding wings | hard folding wings arrangement | internal combustion engine | pilot control unit | rocket body with control engine and rudder | rocket engine at tail | rudders on arrow body | water recovery carrier rocket,89,1,1,autonomous flight control | blades
improve data accuracy,improve data accuracy,,forward extending probe rod perpendicular to vertical section | magnetic probe installed in forward extending probe rod | magnetic probes at main wing outer vertical section ends | main wing outer side vertical section | probe outer cover | probe outer cover outside magnetic probes | wing tip mounting device,3680,1,1,sensors | blades
improve data freshness,improve data freshness,,aerial vehicles form platform segments | floating platform,5253,1,1,landing system | fuselage
improve data reliability,improve data reliability | improve reliability,dynamic model of UAV i | neighbor state estimator | network attack model | overall stability analysis function | self state estimator | stable and unstable operation time periods | system fault model,other end of connecting rope | speaker device,834 | 835 | 4687,3,2,autonomous flight control | sensors
improve debugging efficiency,improve debugging efficiency,calculate distance to beacon | determine inspection path | generate azimuth angle data,,4284,1,1,sensors | camera
improve decision efficiency,improve decision efficiency | improving decision accuracy,Markov decision process | attenuated noise exploration | reward function model | step decision made according | storing quadruple generated each | winning/losing decision model,Ground Control Station | LED matrix | adjustable connecting mechanism | close-range air combat scene | cloud platform | first shielding cover on UAV | first shielding cover on UAV periphery | flight program transmission | insulator string live water flushing device | intelligent fire protection system | light program | light program transmission | outer surface of UAV | plurality of LEDs | second and third supporting plates | unmanned aerial vehicle | unmanned aerial vehicle as lifting power | unmanned plane kinematics model | water spraying mechanisms on supports | winning/losing decision model,2316 | 2317 | 5945 | 5946,4,2,autonomous flight control | avionics processing
improve delivery security,improve delivery security,rotating member driven by rotating assembly | rotation based on pressure value distribution,cargo cabin placing table | cargo cabin placing table connected to rotating assembly | pressure sensors on cargo cabin placing table | rotating assembly | unmanned aerial vehicle cargo allocation equipment | warehouse placing table,895,1,1,sensors | fuselage
improve descending safety,improve descending safety,,V-shaped float bowl bottom | broken step at rear bottom | broken step design | buoy front end inclined upwards | float bowl tail inclined upwards | floating cylinder ship-like structure | head lifted from water surface | reduced fluid resistance | tail lifted from water surface | two bilateral buoys | vehicle body with wings,901,1,1,landing system | autonomous flight control
improve detection device performance,improve detection device performance,,master and follower GNSS receivers | two spaced launch pads,5695,1,1,sensors | landing system
improve detection efficiency,improve detection accuracy | improve detection efficiency | improve detection task reliability,ant colony algorithm decision model | calculating gray values | driving wheels at arm support ends | extracting module frames | fuselage and landing leg locking and unlocking | locked by rotor locking and unlocking mechanism | obtaining module reflectivity function | steering engine drives arm support rotation,"Figure 1 | GND pattern on bottom plate | Mars lander | air detection sensor | arm support | array of transducer devices | at least two deformation sensors | at least two propulsion or lift rotors | circuit element | circuit element on sensor element | coaxial Mars helicopter | coaxial spark helicopter | coaxial spark helicopter inverted in vertical column assembly | column assembly | connection through vertical column assembly | container with containing part and bottom plate | continuous peripheral protection | detection equipment | detection equipment shell | double-shaft digital steering engine | fire work clamping plate assembly | first flexible elongated rectangular sheet | first, second, third support frames | four rotor wing mechanisms | four-rotor unmanned aerial vehicle | front and rear driving wheels | fuselage and landing leg lock-release mechanism | hook and shockproof pad | lock-release mechanism | locking and releasing device | machine body | motor in wing shell | mounting bracket | multirotor drone carrying frame | processing unit connected to sensors | rocket launching cylinder cover | rotating arm fixing bracket | rotor control member | rotor wing locking and unlocking mechanism | rotor wing mechanism | sensor element | sensor element on inner bottom surface | sensors on peripheral outer wall | separated from inner bottom surface | space vehicle housing | support frame | throwing box position | throwing device installation | tilting rotor wing moving mechanism | top connected to horizontal clamping platform | unmanned aerial vehicle atmospheric monitoring equipment | unmanned aerial vehicle body | wire-arranging support frame assembly",18 | 19 | 73 | 74 | 1754 | 1755 | 1839 | 3613 | 3614,9,3,blades | sensors
improve detection range,improve detection range,,gravity center adjusting assembly | height sensor and GPS receiver | high-integration airborne computer | lens distance adjusting assembly | lifting detection assembly | top end of unmanned aerial vehicle | unmanned aerial vehicle | wing arm at top end | wing on wing arm,5849 | 5850,2,1,sensors | autonomous flight control
improve dispatching efficiency,improve dispatching efficiency,,,4029,1,1,avionics processing | telecommunication
improve distribution efficiency,improve distribution efficiency,blockchain secret communication | chaotic encryption communication | cloud and edge server interaction | cloud server automatically distributes | delivery tasks edge deployed,,5270,1,1,telecommunication | avionics processing
improve drone direction change response,improve drone direction change response,electromagnet adsorbs magnetic part when electrified | electromagnet separates magnetic part when off,body bracket protruding from body | electromagnet at lower body | front link rotatably coupled | gas imaging thermal imager connected to body | magnetic part at upper connecting disc | monitoring assembly at lower connecting disc | rear link parallel to front link | rotor blades on upper surface | servo mount bracket,4443 | 4444,2,1,blades | sensors
improve drone management convenience,improve drone management convenience,determine drone delivery possibility | identify products,modularized driving units | product packaging method | product payment unit,1484 | 1485,2,1,autonomous flight control | avionics processing
improve drone mission range,improve drone mission range,door opened by link | link connects door,battery charging status checker | bottom of main body | carrier with power supply unit | comprehensive control unit | designated landing points | detectors that detect laser | entry and exit gates | laser emitting unit | laser launcher | mission-performing drone | power supply unit | wireless charging units,4320 | 4321,2,1,batteries | solar panel
